name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
Chemicals (feat. Thomas Troelsen),Chemicals (feat. Thomas Troelsen),Tiësto,10/3/2015,222075,46,0.0344,0.529,0.955,4.55E-05,0.353,-2.59,0.0794,125.988,0.0893,4,10,0,spotify:track:5hZz0GjweCU7v0u5VU6KlT,2015,edm
Gimme That Bounce,Gimme That Bounce,Mau P,1/27/2023,217410,62,0.0284,0.801,0.96,0.877,0.0985,-5.534,0.264,126.045,0.101,4,8,1,spotify:track:7jURkEKDVEm9sHueqUX0ko,2023,edm
On & On,Feel Again,Armin van Buuren,3/30/2023,170578,69,0.0221,0.681,0.933,0.00504,0.266,-2.855,0.104,128.036,0.46,4,0,1,spotify:track:6wLqNGHQIja6xqT0cfrzBB,2023,edm
Sweet Nothing (feat. Florence Welch),18 Months,Calvin Harris,10/29/2012,212560,76,0.197,0.573,0.929,0.000112,0.0567,-3.942,0.109,127.934,0.582,4,8,0,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,2012,edm
Turn Me On (feat. Vula),Turn Me On (feat. Vula),Riton,9/13/2019,208473,67,0.0149,0.737,0.828,0.000588,0.0862,-4.711,0.0396,124.051,0.517,4,11,1,spotify:track:0qaWEvPkts34WF68r8Dzx9,2019,edm
Voodoo,Salvation,Gorgon City,7/21/2023,214120,61,0.201,0.661,0.885,0.748,0.155,-6.575,0.0577,129.019,0.224,4,6,0,spotify:track:3hQSct6Ay5azm9dfFxHixY,2023,edm
Whatever (with Ava Max) - Tiësto Remix,Whatever (The Remixes),Kygo,3/29/2024,165714,49,0.00158,0.656,0.961,0.0153,0.327,-4.794,0.398,126.149,0.673,4,8,1,spotify:track:2e0Lsi6FfpmjKtdKkaZHuO,2024,edm
Yeah The Girls,Yeah The Girls,FISHER,9/2/2022,194310,62,0.00114,0.755,0.968,0.775,0.103,-5.282,0.0423,126.009,0.783,4,8,1,spotify:track:1w3IvRZpHTCyGkCp8icGAa,2022,edm
Atmosphere,Atmosphere,FISHER,8/11/2023,182857,74,0.00623,0.762,0.895,0.142,0.204,-4.562,0.0734,125.985,0.757,4,8,1,spotify:track:63HwAAXuSV2tzIUPoHOwZa,2023,edm
Beat Freak (ft. lau.ra),Beat Freak (ft. lau.ra),Chris Lake,3/26/2021,214309,44,0.0123,0.886,0.694,0.44,0.13,-5.322,0.0448,126.018,0.962,4,9,0,spotify:track:4C2ohxfUodwGkMN67lxGbs,2021,edm
